0	0,696	-0,03	-0,03
0,2	0,696	-0,03	-0,03
0,4	0,696	-0,03	-0,03
0,6	0,696	-0,03	-0,03
0,8	0,696	-0,03	-0,03
1	0,696	-0,03	-0,03
1,2	0,696	-0,03	-0,03
1,4	0,696	-0,03	-0,03
1,6	0,696	-0,03	-0,03
1,8	0,696	-0,03	-0,03
2	0,696	-0,03	-0,03
2,2	0,696	-0,03	-0,03
2,4	0,696	-0,03	-0,03
2,6	0,696	-0,03	-0,03
2,8	0,696	-0,03	-0,03
3	0,696	-0,03	-0,03
3,2	0,696	-0,03	-0,03
3,4	0,696	-0,03	-0,03
3,6	0,696	-0,03	-0,03
3,8	0,696	-0,03	-0,03
4	0,696	-0,03	-0,03
4,2	0,696	-0,03	-0,03
4,4	0,696	-0,03	-0,03
4,6	0,696	-0,03	-0,03
4,8	0,696	-0,03	-0,03
5	0,696	-0,03	-0,03
5,2	0,696	-0,03	-0,03
5,4	0,696	-0,03	-0,03
5,6	0,696	-0,03	-0,03
5,8	0,696	-0,03	-0,03
6	0,696	-0,03	-0,03
6,2	0,696	-0,03	-0,03
6,4	0,696	-0,03	-0,03
6,6	0,696	-0,03	-0,03
6,8	0,696	-0,03	-0,03
7	0,696	-0,03	-0,03
7,2	0,696	-0,03	-0,03
7,4	0,696	-0,03	-0,03
7,6	0,696	-0,03	-0,03
7,8	0,696	-0,03	-0,03
8	0,404323	0,0740652	0,258045
8,2	0,404323	0,0740652	0,258045
8,4	0,404323	0,0740652	0,258045
8,6	0,404323	0,0740652	0,258045
8,8	0,404323	0,0740652	0,258045
9	0,404323	0,0740652	0,258045
9,2	0,404323	0,0740652	0,258045
9,4	0,404323	0,0740652	0,258045
9,6	0,404323	0,0740652	0,258045
9,8	0,404323	0,0740652	0,258045
10	0,404323	0,0740652	0,258045
10,2	0,404323	0,0740652	0,258045
10,4	0,404323	0,0740652	0,258045
10,6	0,404323	0,0740652	0,258045
10,8	0,404323	0,0740652	0,258045
11	0,404323	0,0740652	0,258045
11,2	0,404323	0,0740652	0,258045
11,4	0,404323	0,0740652	0,258045
11,6	0,404323	0,0740652	0,258045
11,8	0,404323	0,0740652	0,258045
12	0,404323	0,0740652	0,258045
12,2	0,696	-0,03	-0,03
12,4	0,696	-0,03	-0,03
12,6	0,696	-0,03	-0,03
12,8	0,696	-0,03	-0,03
13	0,696	-0,03	-0,03
13,2	0,696	-0,03	-0,03
13,4	0,696	-0,03	-0,03
13,6	0,696	-0,03	-0,03
13,8	0,696	-0,03	-0,03
14	0,696	-0,03	-0,03
14,2	0,696	-0,03	-0,03
14,4	0,696	-0,03	-0,03
14,6	0,696	-0,03	-0,03
14,8	0,696	-0,03	-0,03
15	0,696	-0,03	-0,03
15,2	0,696	-0,03	-0,03
15,4	0,696	-0,03	-0,03
15,6	0,696	-0,03	-0,03
15,8	0,696	-0,03	-0,03
16	0,696	-0,03	-0,03
16,2	0,696	-0,03	-0,03
16,4	0,696	-0,03	-0,03
16,6	0,696	-0,03	-0,03
16,8	0,696	-0,03	-0,03
17	0,696	-0,03	-0,03
17,2	0,696	-0,03	-0,03
17,4	0,696	-0,03	-0,03
17,6	0,696	-0,03	-0,03
17,8	0,696	-0,03	-0,03
18	0,696	-0,03	-0,03
18,2	0,696	-0,03	-0,03
18,4	0,696	-0,03	-0,03
18,6	0,696	-0,03	-0,03
18,8	0,696	-0,03	-0,03
19	0,696	-0,03	-0,03
19,2	0,696	-0,03	-0,03
19,4	0,696	-0,03	-0,03
19,6	0,696	-0,03	-0,03
19,8	0,696	-0,03	-0,03
20	0,696	-0,03	-0,03
