0	1,10	-0,03	-0,03		0,70
0,2	1,10	-0,03	-0,03		0,70
0,4	1,10	-0,03	-0,03		0,70
0,6	1,10	-0,03	-0,03		0,70
0,8	1,10	-0,03	-0,03		0,70
1	1,10	-0,03	-0,03		0,70
1,2	1,10	-0,03	-0,03		0,70
1,4	1,10	-0,03	-0,03		0,70
1,6	1,10	-0,03	-0,03		0,70
1,8	1,10	-0,03	-0,03		0,70
2	1,10	-0,03	-0,03		0,70
2,2	1,10	-0,03	-0,03		0,70
2,4	1,10	-0,03	-0,03		0,70
2,6	1,10	-0,03	-0,03		0,70
2,8	1,10	-0,03	-0,03		0,70
3	1,10	-0,03	-0,03		0,70
3,2	1,10	-0,03	-0,03		0,70
3,4	1,10	-0,03	-0,03		0,70
3,6	1,10	-0,03	-0,03		0,70
3,8	1,10	-0,03	-0,03		0,70
4	1,10	-0,03	-0,03		0,70
4,2	1,10	-0,03	-0,03		0,70
4,4	1,10	-0,03	-0,03		0,70
4,6	1,10	-0,03	-0,03		0,70
4,8	1,10	-0,03	-0,03		0,70
5	1,10	-0,03	-0,03		0,70
5,2	1,10	-0,03	-0,03		0,70
5,4	1,10	-0,03	-0,03		0,70
5,6	1,10	-0,03	-0,03		0,70
5,8	1,10	-0,03	-0,03		0,70
6	1,10	-0,03	-0,03		0,70
6,2	1,10	-0,03	-0,03		0,70
6,4	1,10	-0,03	-0,03		0,70
6,6	1,10	-0,03	-0,03		0,70
6,8	1,10	-0,03	-0,03		0,70
7	1,10	-0,03	-0,03		0,70
7,2	1,10	-0,03	-0,03		0,70
7,4	1,10	-0,03	-0,03		0,70
7,6	1,10	-0,03	-0,03		0,70
7,8	1,10	-0,03	-0,03		0,70
8	0,60	0,13	0,49		0,20
8,2	0,60	0,13	0,49		0,20
8,4	0,60	0,13	0,49		0,20
8,6	0,60	0,13	0,49		0,20
8,8	0,60	0,13	0,49		0,20
9	0,60	0,13	0,49		0,20
9,2	0,60	0,13	0,49		0,20
9,4	0,60	0,13	0,49		0,20
9,6	0,60	0,13	0,49		0,20
9,8	0,60	0,13	0,49		0,20
10	0,60	0,13	0,49		0,20
10,2	0,60	0,13	0,49		0,20
10,4	0,60	0,13	0,49		0,20
10,6	0,60	0,13	0,49		0,20
10,8	0,60	0,13	0,49		0,20
11	0,60	0,13	0,49		0,20
11,2	0,60	0,13	0,49		0,20
11,4	0,60	0,13	0,49		0,20
11,6	0,60	0,13	0,49		0,20
11,8	0,60	0,13	0,49		0,20
12	0,60	0,13	0,49		0,20
12,2	1,10	-0,03	-0,03		0,70
12,4	1,10	-0,03	-0,03		0,70
12,6	1,10	-0,03	-0,03		0,70
12,8	1,10	-0,03	-0,03		0,70
13	1,10	-0,03	-0,03		0,70
13,2	1,10	-0,03	-0,03		0,70
13,4	1,10	-0,03	-0,03		0,70
13,6	1,10	-0,03	-0,03		0,70
13,8	1,10	-0,03	-0,03		0,70
14	1,10	-0,03	-0,03		0,70
14,2	1,10	-0,03	-0,03		0,70
14,4	1,10	-0,03	-0,03		0,70
14,6	1,10	-0,03	-0,03		0,70
14,8	1,10	-0,03	-0,03		0,70
15	1,10	-0,03	-0,03		0,70
15,2	1,10	-0,03	-0,03		0,70
15,4	1,10	-0,03	-0,03		0,70
15,6	1,10	-0,03	-0,03		0,70
15,8	1,10	-0,03	-0,03		0,70
16	1,10	-0,03	-0,03		0,70
16,2	1,10	-0,03	-0,03		0,70
16,4	1,10	-0,03	-0,03		0,70
16,6	1,10	-0,03	-0,03		0,70
16,8	1,10	-0,03	-0,03		0,70
17	1,10	-0,03	-0,03		0,70
17,2	1,10	-0,03	-0,03		0,70
17,4	1,10	-0,03	-0,03		0,70
17,6	1,10	-0,03	-0,03		0,70
17,8	1,10	-0,03	-0,03		0,70
18	1,10	-0,03	-0,03		0,70
18,2	1,10	-0,03	-0,03		0,70
18,4	1,10	-0,03	-0,03		0,70
18,6	1,10	-0,03	-0,03		0,70
18,8	1,10	-0,03	-0,03		0,70
19	1,10	-0,03	-0,03		0,70
19,2	1,10	-0,03	-0,03		0,70
19,4	1,10	-0,03	-0,03		0,70
19,6	1,10	-0,03	-0,03		0,70
19,8	1,10	-0,03	-0,03		0,70
20	1,10	-0,03	-0,03		0,70
