0.71	-0.317902	0.110278	-0.612027	-0.52144	-0.22188	0.433782
0.72	-0.315037	0.111116	-0.612283	-0.52096	-0.224685	0.429026
0.73	-0.312265	0.111893	-0.612602	-0.52056	-0.227494	0.424379
0.74	-0.309588	0.112606	-0.612983	-0.52024	-0.230307	0.419842
0.75	-0.307006	0.113254	-0.613426	-0.52	-0.233125	0.415414
0.76	-0.304517	0.113835	-0.613931	-0.51984	-0.235947	0.411095
0.77	-0.302123	0.114349	-0.614498	-0.51976	-0.238774	0.406886
0.78	-0.299824	0.114794	-0.615126	-0.51976	-0.241605	0.402787
0.79	-0.297619	0.115167	-0.615816	-0.51984	-0.24444	0.398797
0.8	-0.295509	0.115469	-0.616568	-0.52	-0.24728	0.394916
0.81	-0.293493	0.115696	-0.61738	-0.52024	-0.250124	0.391145
0.82	-0.291572	0.115848	-0.618254	-0.52056	-0.252973	0.387484
0.83	-0.289746	0.115923	-0.619188	-0.52096	-0.255826	0.383932
0.84	-0.288014	0.115919	-0.620183	-0.52144	-0.258683	0.380489
0.85	-0.286378	0.115835	-0.621238	-0.522	-0.261545	0.377156
0.86	-0.284836	0.115669	-0.622354	-0.52264	-0.264411	0.373932
0.87	-0.283389	0.115419	-0.62353	-0.52336	-0.267282	0.370818
0.88	-0.282038	0.115084	-0.624765	-0.52416	-0.270157	0.367813
0.89	-0.280782	0.114662	-0.626061	-0.52504	-0.273036	0.364918
0.9	-0.279621	0.114151	-0.627416	-0.526	-0.27592	0.362132
0.91	-0.278555	0.113549	-0.62883	-0.52704	-0.278808	0.359456
0.92	-0.277585	0.112855	-0.630303	-0.52816	-0.281701	0.356889
0.93	-0.27671	0.112067	-0.631835	-0.52936	-0.284598	0.354432
0.94	-0.275931	0.111183	-0.633425	-0.53064	-0.287499	0.352084
0.95	-0.275248	0.1102	-0.635075	-0.532	-0.290405	0.349845
0.96	-0.27466	0.109118	-0.636782	-0.53344	-0.293315	0.347716
0.97	-0.274168	0.107934	-0.638547	-0.53496	-0.29623	0.345697
0.98	-0.273772	0.106646	-0.64037	-0.53656	-0.299149	0.343787
0.99	-0.273472	0.105252	-0.64225	-0.53824	-0.302072	0.341986
1	-0.273268	0.10375	-0.644188	-0.54	-0.305	0.340295
